iter	Passed	Remaining
904	4876	511
905	4880	506
906	4885	500
907	4890	495
908	4895	490
909	4899	484
910	4904	479
911	4909	473
912	4913	468
913	4918	462
914	4922	457
915	4927	451
916	4931	446
917	4936	440
918	4940	435
919	4945	430
920	4949	424
921	4953	419
922	4957	413
923	4962	408
924	4966	402
925	4971	397
926	4975	391
927	4980	386
928	4984	380
929	4988	375
930	4992	370
931	4996	364
932	5000	359
933	5004	353
934	5009	348
935	5013	342
936	5017	337
937	5022	331
938	5026	326
939	5030	321
940	5034	315
941	5039	310
942	5043	304
943	5047	299
944	5050	293
945	5054	288
946	5058	283
947	5062	277
948	5066	272
949	5070	266
950	5075	261
951	5079	256
952	5083	250
953	5087	245
954	5092	239
955	5096	234
956	5100	229
957	5104	223
958	5108	218
959	5112	213
960	5117	207
961	5121	202
962	5125	196
963	5129	191
964	5133	186
965	5137	180
966	5141	175
967	5145	170
968	5149	164
969	5153	159
970	5157	154
971	5161	148
972	5166	143
973	5170	138
974	5173	132
975	5177	127
976	5181	121
977	5185	116
978	5189	111
979	5193	105
980	5197	100
981	5201	95
982	5205	90
983	5209	84
984	5213	79
985	5217	74
986	5222	68
987	5226	63
988	5230	58
989	5234	52
990	5238	47
991	5242	42
992	5246	36
993	5250	31
994	5254	26
995	5258	21
996	5262	15
997	5265	10
998	5269	5
999	5274	0
